LSOA_Code,Year,Vulnerable_Ratio,Population_Density,House_Price,Theft_Rate_per1k,Income_Score_rate,Employment_Score_rate,"Education,_Skills_and_Training_Score",Health_Deprivation_and_Disability_Score,Barriers_to_Housing_and_Services_Score,Living_Environment_Score,tran_poi_count,shop_poi_count
E01000006,2015,0.32555728356661484,13158.2537517053,196125.0,1.5552099533437014,0.117,0.059,14.798,-0.359,45.171,26.888,0,0
E01000006,2016,0.3198724760892667,12837.653478854,349062.5,4.2507970244420825,0.117,0.059,14.798,-0.359,45.171,26.888,0,0
E01000006,2017,0.3228941684665227,12633.0150068212,408500.0,4.859611231101512,0.117,0.059,14.798,-0.359,45.171,26.888,0,0
E01000006,2018,0.329175704989154,12578.4447476125,379375.0,8.134490238611713,0.117,0.059,14.798,-0.359,45.171,26.888,0,0
E01000006,2019,0.3150759219088937,12578.4447476125,247375.0,3.2537960954446854,0.117,0.059,14.798,-0.359,45.171,26.888,0,0
E01000007,2015,0.2974976830398517,10790.0,176125.0,35.68118628359592,0.207,0.107,11.385,-0.027,50.42,25.995,5,13
E01000007,2016,0.2980688497061293,11910.0,200750.0,37.36356003358522,0.207,0.107,11.385,-0.027,50.42,25.995,5,13
E01000007,2017,0.31242603550295855,12675.0,230529.625,42.99802761341223,0.207,0.107,11.385,-0.027,50.42,25.995,5,13
E01000007,2018,0.31500974658869396,12825.0,240500.0,38.59649122807018,0.207,0.107,11.385,-0.027,50.42,25.995,5,13
E01000007,2019,0.3074546156817304,12945.0,217875.0,57.937427578215534,0.207,0.107,11.385,-0.027,50.42,25.995,5,13
E01000008,2015,0.37454545454545457,8522.72727272727,178000.0,49.696969696969695,0.265,0.151,25.506,0.25,45.413,30.233,1,5
E01000008,2016,0.3627852545348157,8827.47933884297,168500.0,25.16091281451141,0.265,0.151,25.506,0.25,45.413,30.233,1,5
E01000008,2017,0.36091954022988504,8987.60330578512,197625.0,24.137931034482758,0.265,0.151,25.506,0.25,45.413,30.233,1,5
E01000008,2018,0.36177474402730375,9080.57851239669,235250.0,21.04664391353811,0.265,0.151,25.506,0.25,45.413,30.233,1,5
E01000008,2019,0.35344827586206895,8987.60330578512,215000.0,30.45977011494253,0.265,0.151,25.506,0.25,45.413,30.233,1,5
E01000009,2015,0.2987910189982729,13580.9225957779,189000.0,21.876799078871617,0.187,0.109,15.713,0.454,48.119,28.601,7,15
E01000009,2016,0.2945693911135491,14253.3229085222,255000.0,17.553483269336258,0.187,0.109,15.713,0.454,48.119,28.601,7,15
E01000009,2017,0.29955947136563876,14198.5926505082,265000.0,18.17180616740088,0.187,0.109,15.713,0.454,48.119,28.601,7,15
E01000009,2018,0.3014069264069264,14448.7881157154,270833.3333333333,23.26839826839827,0.187,0.109,15.713,0.454,48.119,28.601,7,15
E01000009,2019,0.31284004352557127,14370.6020328381,195000.0,36.452665941240475,0.187,0.109,15.713,0.454,48.119,28.601,7,15
E01000011,2015,0.3132969034608379,17960.7415485278,254375.0,0.6071645415907712,0.167,0.081,22.519,-0.137,52.948,39.857,1,5
E01000011,2016,0.3073140749846343,17742.6390403489,286875.0,7.990165949600493,0.167,0.081,22.519,-0.137,52.948,39.857,1,5
E01000011,2017,0.3112183353437877,18080.6979280261,373062.5,4.8250904704463204,0.167,0.081,22.519,-0.137,52.948,39.857,1,5
E01000011,2018,0.3064705882352941,18538.7131952017,383500.0,5.88235294117647,0.167,0.081,22.519,-0.137,52.948,39.857,1,5
E01000011,2019,0.3138424821002387,18276.9901853871,266650.0,5.966587112171838,0.167,0.081,22.519,-0.137,52.948,39.857,1,5
E01000012,2015,0.37977193852255825,14366.0968660968,166875.0,5.949429846306396,0.239,0.096,19.774,-0.056,56.507,36.881,0,4
E01000012,2016,0.3755739210284665,15512.8205128205,181624.375,7.3461891643709825,0.239,0.096,19.774,-0.056,56.507,36.881,0,4
E01000012,2017,0.3879583521955636,15733.6182336182,214875.0,4.979628791308285,0.239,0.096,19.774,-0.056,56.507,36.881,0,4
E01000012,2018,0.3893690579083838,16481.4814814814,210312.5,2.592912705272256,0.239,0.096,19.774,-0.056,56.507,36.881,0,4
E01000012,2019,0.38807260155574763,16481.4814814814,228437.5,6.9144338807260155,0.239,0.096,19.774,-0.056,56.507,36.881,0,4
E01000013,2015,0.35053885422575154,8484.11934552454,230500.0,43.10833806012479,0.213,0.145,24.003,0.67,45.252,30.424,9,31
E01000013,2016,0.3454022988505747,8373.43599615014,276500.0,35.632183908045974,0.213,0.145,24.003,0.67,45.252,30.424,9,31
E01000013,2017,0.3522114347357066,8922.04042348411,301000.0,53.93743257820928,0.213,0.145,24.003,0.67,45.252,30.424,9,31
E01000013,2018,0.34145050291159346,9090.47160731472,312500.0,50.82053996823716,0.213,0.145,24.003,0.67,45.252,30.424,9,31
E01000013,2019,0.3347480106100796,9071.22232916265,309187.5,50.397877984084886,0.213,0.145,24.003,0.67,45.252,30.424,9,31
